cell_id,cell_number,cohort,first20_member,later_member,boundary_time_order_pass,boundary_gap_seconds,first20_last_cycle,first20_last_cycle_rows,first20_last_cycle_fraction_of_prior_median,later_first_cycle,later_first_cycle_rows,later_first_cycle_fraction_of_middle_median,mapping_decision,later_cycle_offset,maximum_mapped_physical_cycle,physical_cycle_70_representable,physical_cycle_130_representable,physical_cycle_190_representable,decision_rule
BIT_#1,1,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,True,19584.0,21,10322,0.661179258879672,1,1717,0.7062937062937062,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#2,2,fixed_profile,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#2/LR1865SZ_first20cycle201213_001_1.xlsx,,False,,21,9993,0.6467333268614698,,,,incomplete,,,False,False,False,missing_first20_or_later_workbook
BIT_#3,3,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#3/LR1865SZ_first20cycle201224_001_1.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#3/LR1865SZ_cycles201228_001_1.xlsx,True,9889.0,21,10392,0.6633050360630625,1,1706,0.9368478857770456,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#4,4,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#4/LR1865SZ_first20cycle210105_001_1.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#4/LR1865SZ_cycles210109_001_1.xlsx,True,11943.0,21,10301,0.6595383679610718,1,1734,0.9670942554378137,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#5,5,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#5/LR1865SZ_first20cycle210117_001_2.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#5/LR1865SZ_cycles210121_001_2.xlsx,True,20604.0,21,10773,0.6687358391011515,1,1727,0.6946902654867256,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#6,6,fixed_profile,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#6/LR1865SZ_first20cycle201213_001_2.xlsx,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#6/LR1865SZ_cycles201217_001_2.xlsx,True,16366.0,21,10419,0.656914977459727,1,1726,1.5342222222222222,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#7,7,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#7/LR1865SZ_first20cycle201225_001_2.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#7/LR1865SZ_cycles201229_001_2.xlsx,True,20268.0,21,10825,0.6690151725842836,1,1726,0.9599555061179088,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#8,8,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#8/LR1865SZ_first20cycle210105_001_2.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#8/LR1865SZ_cycles210109_001_2.xlsx,True,6489.0,21,10636,0.6673778000878459,1,1721,1.0379975874547647,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#9,9,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#9/LR1865SZ_first20cycle210117_001_3.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#9/LR1865SZ_cycles210121_001_3.xlsx,True,18682.0,21,10455,0.6682219097532915,1,1729,0.6861111111111111,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#11,11,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,True,26094.0,21,10669,0.6722323735114359,1,1725,0.9264232008592911,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#12,12,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,True,8083.0,21,10522,0.664729294333186,1,1724,0.9828962371721779,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#14,14,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,True,5175.0,21,10787,0.6639992613339079,1,1745,0.7378435517970402,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#15,15,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,True,5499.0,21,10807,0.672369812729422,1,1717,0.8984824699110413,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#17,17,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,True,23443.0,21,10595,0.6618565717141429,1,1731,0.738481228668942,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#18,18,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,True,8757.0,21,10716,0.6720812819467528,1,1738,0.9205508474576272,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#20,20,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,True,2514129.0,21,10725,0.6685992145128109,1,1713,0.5211439002129602,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#21,21,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_first20cycle210112_001_7.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,True,8764.0,21,10681,0.6703907108112349,1,1713,0.8372434017595308,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#22,22,fixed_profile,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#22/LR1865SZ_first20cycle201210_002_1.xlsx,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#22/LR1865SZ_cycle201214_002_1.xlsx,True,4830.0,21,10842,0.669569245020843,1,2305,2.0398230088495577,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#23,23,fixed_profile,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#23/LR1865SZ_first20cycle201222_002_1.xlsx,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#23/LR1865SZ_cycles201226_002_1.xlsx,True,17337.0,21,10726,0.6676834012885555,1,4069,3.7125912408759123,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#24,24,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#24/LR1865SZ_first20cycle210104_002_1.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#24/LR1865SZ_cycles210108_002_1.xlsx,True,41464.0,21,10636,0.6673568627450981,1,1695,0.8033175355450237,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#25,25,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#25/LR1865SZ_first20cycle210116_002_2.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#25/LR1865SZ_cycles210120_002_2.xlsx,True,24543.0,21,10600,0.6650354476441434,1,1675,0.6987901543596162,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#26,26,fixed_profile,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#26/LR1865SZ_first20cycle201210_002_2.xlsx,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#26/LR1865SZ_cycle201214_002_2.xlsx,True,11049.0,21,10689,0.6726237296668031,1,2259,2.107276119402985,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#27,27,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#27/LR1865SZ_first20cycle201222_002_2.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#27/LR1865SZ_cycles201226_002_2.xlsx,True,23432.0,21,10615,0.6680932750102275,1,1713,0.7270797962648556,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#28,28,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#28/LR1865SZ_first20cycle210104_002_2.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#28/LR1865SZ_cycles210108_002_2.xlsx,True,30044.0,21,10730,0.6676830216856974,1,1703,0.7961664329125759,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#29,29,fixed_profile,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#29/LR1865SZ_first20cycle201210_002_3.xlsx,kw34hhw7xg-3/Cycled with Fixed Current Profiles/#29/LR1865SZ_cycle201214_002_3.xlsx,True,29998.0,21,10350,0.660202844932066,1,2257,2.02785265049416,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#30,30,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#30/LR1865SZ_first20cycle201222_002_3.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#30/LR1865SZ_cycles201226_002_3.xlsx,True,25725.0,21,10464,0.6639172641329865,1,1715,0.7242398648648649,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
BIT_#31,31,arbitrary_use,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#31/LR1865SZ_first20cycle210103_002_3.xlsx,kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#31/LR1865SZ_cycles210107_002_3.xlsx,True,3421.0,21,10317,0.6582448081156091,1,1692,0.8162083936324168,unresolved,,,False,False,False,boundary evidence did not satisfy the deterministic structural rule
