cell_id,cell_number,cohort,include_in_amended_BIT_evaluation,exclusion_reason,first20_local_retained,first20_local_excluded_terminal_bucket,later_mapping_formula,later_local_min,later_local_max,mapped_physical_min,mapped_physical_max,cycle70_representable,cycle130_representable,cycle190_representable
BIT_#1,1,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#2,2,fixed_profile,False,missing_later_workbook,1..20,21,physical_cycle=20+local_cycle,,,,,False,False,False
BIT_#3,3,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#4,4,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#5,5,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#6,6,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#7,7,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#8,8,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#9,9,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#11,11,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#12,12,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#14,14,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#15,15,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#17,17,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#18,18,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#20,20,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#21,21,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#22,22,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#23,23,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#24,24,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#25,25,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#26,26,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#27,27,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#28,28,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#29,29,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#30,30,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#31,31,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#32,32,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#33,33,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#34,34,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#35,35,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#36,36,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#37,37,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#38,38,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#39,39,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#40,40,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#41,41,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#42,42,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#43,43,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#44,44,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#45,45,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#46,46,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#47,47,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#48,48,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#49,49,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#50,50,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#51,51,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#52,52,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#53,53,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#54,54,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#55,55,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#56,56,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#57,57,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#58,58,fixed_profile,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#59,59,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#60,60,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#61,61,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#62,62,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#63,63,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#64,64,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#65,65,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#66,66,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#67,67,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#68,68,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#69,69,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#70,70,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#71,71,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#72,72,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#73,73,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#74,74,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#75,75,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#76,76,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
BIT_#77,77,arbitrary_use,True,,1..20,21,physical_cycle=20+local_cycle,1,101,21,121,True,False,False
