member,member_sha256,cell_number,cell_id,cohort,file_role,worksheet,header_row,rows_seen,selected_rows,unique_local_cycles,local_cycle_min,local_cycle_max,first_cycle_rows,last_cycle_rows,median_prior_cycle_rows,median_middle_cycle_rows,last_cycle_fraction_of_prior_median,first_cycle_fraction_of_middle_median,data_point_min,data_point_max,datetime_min,datetime_max,first_cycle_datetime_min,first_cycle_datetime_max,last_cycle_datetime_min,last_cycle_datetime_max,allowed_fields_only,outcome_fields_read,model_code_imported,model_output_generated
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,70b3432c6ae903ebf591d30a02003e409318a450ebc650e25a9becdc7d5c46c3,1,BIT_#1,arbitrary_use,first20,记录表,1,313535,313534,21,1,21,6488,10322,15611.5,15616.0,0.661179258879672,0.41547131147540983,1.0,313534.0,2021-01-17T11:28:47,2021-01-21T03:05:07,2021-01-17T11:28:47,2021-01-17T13:17:32,2021-01-21T00:12:43,2021-01-21T03:05:07,True,False,False,False
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,f8115184a3fabe4d72555d78eb332c628e1176dad2541e054da3265f358ed49c,1,BIT_#1,arbitrary_use,later,记录表,1,259019,259018,101,1,101,1717,3574,2420.0,2431.0,1.4768595041322314,0.7062937062937062,1.0,259018.0,2021-01-21T08:31:31,2021-01-24T08:51:24,2021-01-21T08:31:31,2021-01-21T09:00:08,2021-01-24T07:51:31,2021-01-24T08:51:24,True,False,False,False
kw34hhw7xg-3/Cycled with Fixed Current Profiles/#2/LR1865SZ_first20cycle201213_001_1.xlsx,79e62ab7085865b3a75ce746c71f3a6a9a3bb0127acf967099c214a8d39b8842,2,BIT_#2,fixed_profile,first20,记录表,1,309669,309668,21,1,21,6459,9993,15451.5,15458.0,0.6467333268614698,0.41784189416483375,1.0,309668.0,2020-12-13T12:09:32,2020-12-17T02:55:05,2020-12-13T12:09:32,2020-12-13T13:58:22,2020-12-17T00:04:26,2020-12-17T02:55:05,True,False,False,False
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#3/LR1865SZ_first20cycle201224_001_1.xlsx,955e027ffcecd4cc5e23f69926fd883f53f7472e89594e3208f5a74835947381,3,BIT_#3,arbitrary_use,first20,记录表,1,314622,314621,21,1,21,6486,10392,15667.0,15667.0,0.6633050360630625,0.41399119167677284,1.0,314621.0,2020-12-24T20:19:02,2020-12-28T12:02:11,2020-12-24T20:19:02,2020-12-24T22:07:49,2020-12-28T09:08:20,2020-12-28T12:02:11,True,False,False,False
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#3/LR1865SZ_cycles201228_001_1.xlsx,69a3f94ad6cc7c98e24202179e03467cc6794d6f075dd2c45825022b90e777ee,3,BIT_#3,arbitrary_use,later,记录表,1,208394,208393,101,1,101,1706,2302,1797.5,1821.0,1.2806675938803895,0.9368478857770456,1.0,208393.0,2020-12-28T14:47:00,2020-12-31T01:04:19,2020-12-28T14:47:00,2020-12-28T15:15:45,2020-12-31T00:25:50,2020-12-31T01:04:19,True,False,False,False
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#4/LR1865SZ_first20cycle210105_001_1.xlsx,55b9e20d2100dc89cd2f7606f3442744f05f317b45d7e8ce4e18366cb05cd4a9,4,BIT_#4,arbitrary_use,first20,记录表,1,313272,313271,21,1,21,6520,10301,15618.5,15619.0,0.6595383679610718,0.4174402970740764,1.0,313271.0,2021-01-05T23:38:14,2021-01-09T15:05:10,2021-01-05T23:38:14,2021-01-06T01:27:16,2021-01-09T12:12:31,2021-01-09T15:05:10,True,False,False,False
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#4/LR1865SZ_cycles210109_001_1.xlsx,c49497535d100f685817e0e5aa1bece9eeafd28b828a8228406140d4e06dc350,4,BIT_#4,arbitrary_use,later,记录表,1,208765,208764,101,1,101,1734,2021,1792.5,1793.0,1.1274755927475593,0.9670942554378137,1.0,208764.0,2021-01-09T18:24:13,2021-01-12T04:41:25,2021-01-09T18:24:13,2021-01-09T18:53:13,2021-01-12T04:07:39,2021-01-12T04:41:25,True,False,False,False
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#5/LR1865SZ_first20cycle210117_001_2.xlsx,2d1ec5ced27507627b3bdbbd37976441ce8cdb507d28f053887e3e7a4672eba8,5,BIT_#5,arbitrary_use,first20,记录表,1,320765,320764,21,1,21,6514,10773,16109.5,16110.0,0.6687358391011515,0.4043451272501552,1.0,320764.0,2021-01-17T09:10:19,2021-01-21T02:48:22,2021-01-17T09:10:19,2021-01-17T10:59:31,2021-01-20T23:48:25,2021-01-21T02:48:22,True,False,False,False
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#5/LR1865SZ_cycles210121_001_2.xlsx,ce4f0b6777ab177f7f8a2676d24bcac876247b4adfb3490a1d954f37cfa64376,5,BIT_#5,arbitrary_use,later,记录表,1,267949,267948,101,1,101,1727,3615,2477.5,2486.0,1.4591321897073664,0.6946902654867256,1.0,267948.0,2021-01-21T08:31:46,2021-01-24T11:21:39,2021-01-21T08:31:46,2021-01-21T09:00:34,2021-01-24T10:21:10,2021-01-24T11:21:39,True,False,False,False
kw34hhw7xg-3/Cycled with Fixed Current Profiles/#6/LR1865SZ_first20cycle201213_001_2.xlsx,d67dd84a897dc9a39630429493185bcff8f2c8f3d587e23eee262a9e7cffa5cc,6,BIT_#6,fixed_profile,first20,记录表,1,317858,317857,21,1,21,6476,10419,15860.5,15866.0,0.656914977459727,0.4081684104374133,1.0,317857.0,2020-12-13T12:09:32,2020-12-17T05:13:13,2020-12-13T12:09:32,2020-12-13T13:58:41,2020-12-17T02:17:26,2020-12-17T05:13:13,True,False,False,False
