member,field_path,dtype,shape,size,missing_or_nonfinite,numeric_min,numeric_max,candidate_role
kw34hhw7xg-3/Readme.txt,Battery,object,77,77,0,,,other
kw34hhw7xg-3/Readme.txt,Charge Rate,object,77,77,0,,,other
kw34hhw7xg-3/Readme.txt,Discharge Rate,object,77,77,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Data_Point,int64,259018,259018,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Test_Time(s),object,259018,259018,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Current(A),float64,259018,259018,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Capacity(Ah),float64,259018,259018,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Voltage(V),float64,259018,259018,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Energy(Wh),float64,259018,259018,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Temperature(℃),float64,259018,259018,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Date_Time,datetime64[ns],259018,259018,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,记录表.Cycle_Index,int64,259018,259018,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Data_Point,int64,313534,313534,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Test_Time(s),object,313534,313534,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Current(A),float64,313534,313534,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Capacity(Ah),float64,313534,313534,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Voltage(V),float64,313534,313534,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Energy(Wh),float64,313534,313534,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Temperature(℃),float64,313534,313534,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Date_Time,datetime64[ns],313534,313534,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,记录表.Cycle_Index,int64,313534,313534,0,1.0,21.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Data_Point,int64,207103,207103,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Test_Time(s),object,207103,207103,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Current(A),float64,207103,207103,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Capacity(Ah),float64,207103,207103,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Voltage(V),float64,207103,207103,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Energy(Wh),float64,207103,207103,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Temperature(℃),float64,207103,207103,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Date_Time,datetime64[ns],207103,207103,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,记录表.Cycle_Index,int64,207103,207103,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Data_Point,int64,317965,317965,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Test_Time(s),object,317965,317965,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Current(A),float64,317965,317965,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Capacity(Ah),float64,317965,317965,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Voltage(V),float64,317965,317965,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Energy(Wh),float64,317965,317965,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Temperature(℃),float64,317965,317965,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Date_Time,datetime64[ns],317965,317965,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,记录表.Cycle_Index,int64,317965,317965,0,1.0,21.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Data_Point,int64,204328,204328,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Test_Time(s),object,204328,204328,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Current(A),float64,204328,204328,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Capacity(Ah),float64,204328,204328,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Voltage(V),float64,204328,204328,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Energy(Wh),float64,204328,204328,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Temperature(℃),float64,204328,204328,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Date_Time,datetime64[ns],204328,204328,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,记录表.Cycle_Index,int64,204328,204328,0,1.0,101.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Data_Point,int64,316904,316904,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Test_Time(s),object,316904,316904,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Current(A),float64,316904,316904,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Capacity(Ah),float64,316904,316904,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Voltage(V),float64,316904,316904,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Energy(Wh),float64,316904,316904,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Temperature(℃),float64,316904,316904,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Date_Time,datetime64[ns],316904,316904,,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,记录表.Cycle_Index,int64,316904,316904,0,1.0,21.0,physical_cycle_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Data_Point,int64,267922,267922,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Test_Time(s),object,267922,267922,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Current(A),float64,267922,267922,0,,,current_or_rate_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Capacity(Ah),float64,267922,267922,0,,,capacity_candidate
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Voltage(V),float64,267922,267922,0,,,other
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,记录表.Energy(Wh),float64,267922,267922,0,,,other
