member,bytes,sha256,suffix,parser,field_count,cycle_candidate_count,capacity_candidate_count,cohort_hint,physical_cycle_190_representable,source_member_name_output_like,model_output_generated
kw34hhw7xg-3/Readme.txt,1094,558ac82874b81cc0641ce3c9945e824fe700c83722aed43da1c4ae2955eed60e,.txt,pandas_txt,3,0,0,unresolved,unknown,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_cycles210121_001_1.xlsx,15624985,f8115184a3fabe4d72555d78eb332c628e1176dad2541e054da3265f358ed49c,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#1/LR1865SZ_first20cycle210117_001_1.xlsx,18056616,70b3432c6ae903ebf591d30a02003e409318a450ebc650e25a9becdc7d5c46c3,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_cycles201229_001_3.xlsx,12592407,0d9bbd865d5ba8e4ae1abb0713282286be69f93c1c51e1db301aecc3824b036c,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#11/LR1865SZ_first20cycle201225_001_3.xlsx,18377383,f8554e21ea7edf5a96ac0be5fde3920ab51d69b169ad007a86677522981899af,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_cycles210109_001_3.xlsx,12392859,8e9a954c6043a916f6105967854e5d162d6133f3e432346a6ed16bda09a3f539,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#12/LR1865SZ_first20cycle210105_001_3.xlsx,18246837,1cb7f7c25432a9c19a22dcd1fed0e32f737576fc0ca2c5d3de2c946070f4edd9,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_cycles201229_001_5.xlsx,16229087,fbd93daad24507115a173a659ea8f33c3d7bc7cef685f391b488a5866da8a040,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#14/LR1865SZ_first20cycle201225_001_5.xlsx,18843001,5716cfdefe836cd9d099a5b446e364d954e2ccc36a7515971257f5e7c5ec169f,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_cycles210110_001_5.xlsx,13192155,85aab25772e0390da3c71b805846a81f8dbabd30ffa870a4c716f3cc39c9c9a4,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#15/LR1865SZ_first20cycle210106_001_5.xlsx,18670154,eaab0c0811c30c64e7e2bb70d14204af133c1f7ea6c62e63e0f1a80bd6f3685b,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_cycles201229_001_6.xlsx,15943751,3caf26c5c421393a6b193e0aacf9b8d507fc4a66729292fb940d6f2f727c8884,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#17/LR1865SZ_first20cycle201225_001_6.xlsx,18504596,3b1d9de13a40790bd62c834318446f7445f043997718277e60c1bc82186e3439,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_cycles210110_001_6.xlsx,12985274,62c91ebc1579efaa4df4cbf821197d2dcbabde3b7d14fc0e831ee001fe2d2e01,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#18/LR1865SZ_first20cycle210106_001_6.xlsx,18439990,e8623b35f59c8954c4b98e74ffa6a03f1f37cda50ba1b74208733b8d20cd0811,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/desktop.ini,114,2233932fd1ea41787f981803013f5249c50b91cb6b0e4ede0d9a1bf54efae830,.ini,binary_inventory_only,0,0,0,arbitrary_use,unknown,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_cycles210103_001_7.xlsx,17264341,af1ce51eb7e58574ec3e6d740365c8c85ec954ae462cae65f82d876e76d3717d,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#20/LR1865SZ_first20cycles201201_001_7.xlsx,18569872,1ee646071e22b07044c8e32c26413cfc66e390bf6b0c39b258dc1584f41407ad,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_cycles210116_001_7.xlsx,14260088,ca0493bf578bf84960a5f18fa2580e217d384de03783f32efa9a91df880d553d,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#21/LR1865SZ_first20cycle210112_001_7.xlsx,18516938,2ef74cc6895fab5169070406747f6ece3b712aea646a2086cb8908c5450c42df,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#24/LR1865SZ_cycles210108_002_1.xlsx,14268865,1f398efa86926442ae60c868a13b71b4128e7d28b19c6d2d2dce11edff8c6aa5,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#24/LR1865SZ_first20cycle210104_002_1.xlsx,18309527,1ed713e2be925d7351f54c8cd16a7cb1c2f14bb09b199a58c606908674ce3eb0,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#25/LR1865SZ_cycles210120_002_2.xlsx,17037568,55ee8bc4c31e13be1b0f64c38def4d5d999e0045edfb241eb3f4817b2f20688f,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#25/LR1865SZ_first20cycle210116_002_2.xlsx,18430600,d1b83c0e67e5ef449bccc7d45d68cb6446425aead98b0f7996417321ea5c8fec,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#27/LR1865SZ_cycles201226_002_2.xlsx,16715743,1046f8f0325743036fbb88fc5dac8195fbfd70c610a8f3266fccaf61e7320b06,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#27/LR1865SZ_first20cycle201222_002_2.xlsx,18388665,cfe8ee7185c61cb5a4342d64e338a1e08e84623486f270f8c13223f73d904d29,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#28/LR1865SZ_cycles210108_002_2.xlsx,14514270,edf29ac7c2db2d6485ac76427899103fd5a29054393de905860a4b74fd343d6a,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#28/LR1865SZ_first20cycle210104_002_2.xlsx,18651222,abf1727054204224cba84d4ec981a2fe56be6833e944263bdedfc0c5eaa7aa88,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#3/LR1865SZ_cycles201228_001_1.xlsx,12624602,69a3f94ad6cc7c98e24202179e03467cc6794d6f075dd2c45825022b90e777ee,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#3/LR1865SZ_first20cycle201224_001_1.xlsx,18102655,955e027ffcecd4cc5e23f69926fd883f53f7472e89594e3208f5a74835947381,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#30/LR1865SZ_cycles201226_002_3.xlsx,16618897,d28417368575bbf7cb6b4cadf6b8ece194ad8a4cd03aacecb588d77472c51e2e,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#30/LR1865SZ_first20cycle201222_002_3.xlsx,18273712,26e2ad788a721004d3c041c6641d0ea5721d1f559a689b72a648141826764107,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#31/LR1865SZ_cycles210107_002_3.xlsx,14059979,22fee1264745f67957d76c72ddc0256c54a7716a1fea5063c18164a94c372c78,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#31/LR1865SZ_first20cycle210103_002_3.xlsx,18181608,cec77a19882f95401eaa1a4e9eacca82054c04c82d097d44611f431a953bc5d4,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#33/LR1865SZ_cycles210102_002_4.xlsx,14055932,149e7a3326ab4ffe6a35e58b1b7367724020a28e6ecbf9bff9ed89a5da646077,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#33/LR1865SZ_first20cycle201229_002_4.xlsx,18176612,372460165fe61424f816bd0823ba015b6bd42ef8b4b6f368f9b90ae111e4c44c,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#34/LR1865SZ_cycles210115_002_4.xlsx,15447634,bd77d87f8e4aec8c3b7dea5ede7369c61a88fd92d8eaa7b7dfac3c5f1e07891c,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#34/LR1865SZ_first20cycle210111_002_4.xlsx,18031289,67d0c92082e4d0f51c083c042151bd137cbf10649417d0982c2db15345c233a0,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#36/LR1865SZ_cycles210102_002_5.xlsx,13642966,f6124ae42ce60d6d57b1dbf89d80252d97fea22cd6833183e1380cc79cf321b4,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#36/LR1865SZ_first20cycle201229_002_5.xlsx,18291406,06499def4906b6245244e98fb364ab9b84dbaf98d66e967af5baaa800b46e9d1,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#37/LR1865SZ_cycles210115_002_5.xlsx,15788881,5c2da946b40b66670bf386332c2ba361ce1f2d2c59364ed3bd7c46d22c3f455a,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#37/LR1865SZ_first20cycle210111_002_5.xlsx,17912717,c99679d8e60f219b31ab14bbb244ad6f5d0b096da506956ce8a9ac87b219411b,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#39/LR1865SZ_cycles210103_002_6.xlsx,13193696,84070ecae572171d0ade5bd130fec7587b8ed811b8595d192409dc3cdeaaf71f,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#39/LR1865SZ_first20cycle201230_002_6.xlsx,18705794,57b97128aa2cb014ce4da8f506f5d3ed6ba0ca048d680fdfc41cc6907311c3e3,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#4/LR1865SZ_cycles210109_001_1.xlsx,12611155,c49497535d100f685817e0e5aa1bece9eeafd28b828a8228406140d4e06dc350,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#4/LR1865SZ_first20cycle210105_001_1.xlsx,17954497,55b9e20d2100dc89cd2f7606f3442744f05f317b45d7e8ce4e18366cb05cd4a9,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
kw34hhw7xg-3/Cycled with Arbitrary Uses Profiles/#40/LR1865SZ_cycles210115_002_6.xlsx,16230286,8d100ad0c6136741bca89eab389a8f665f5ff4d9562421e4586098f7c87a0f92,.xlsx,pandas_excel,9,1,1,arbitrary_use,false,false,no
