batch,filename,role
Batch-4,R3_battery-1.mat,primary_cross_condition_external_confirmation
Batch-4,R3_battery-2.mat,primary_cross_condition_external_confirmation
Batch-4,R3_battery-3.mat,primary_cross_condition_external_confirmation
Batch-4,R3_battery-4.mat,primary_cross_condition_external_confirmation
Batch-4,R3_battery-5.mat,primary_cross_condition_external_confirmation
Batch-4,R3_battery-6.mat,primary_cross_condition_external_confirmation
Batch-4,R3_battery-7.mat,primary_cross_condition_external_confirmation
Batch-4,R3_battery-8.mat,primary_cross_condition_external_confirmation
Batch-5,RW_battery-1.mat,secondary_sparse_observation_protocol_transfer
Batch-5,RW_battery-2.mat,secondary_sparse_observation_protocol_transfer
Batch-5,RW_battery-3.mat,secondary_sparse_observation_protocol_transfer
Batch-5,RW_battery-4.mat,secondary_sparse_observation_protocol_transfer
Batch-5,RW_battery-5.mat,secondary_sparse_observation_protocol_transfer
Batch-5,RW_battery-6.mat,secondary_sparse_observation_protocol_transfer
Batch-5,RW_battery-7.mat,secondary_sparse_observation_protocol_transfer
Batch-5,RW_battery-8.mat,secondary_sparse_observation_protocol_transfer
Batch-6,Sim_satellite_battery-1.mat,secondary_sparse_observation_protocol_transfer
Batch-6,Sim_satellite_battery-2.mat,secondary_sparse_observation_protocol_transfer
Batch-6,Sim_satellite_battery-3.mat,secondary_sparse_observation_protocol_transfer
Batch-6,Sim_satellite_battery-4.mat,secondary_sparse_observation_protocol_transfer
Batch-6,Sim_satellite_battery-5.mat,secondary_sparse_observation_protocol_transfer
Batch-6,Sim_satellite_battery-6.mat,secondary_sparse_observation_protocol_transfer
Batch-6,Sim_satellite_battery-7.mat,secondary_sparse_observation_protocol_transfer
Batch-6,Sim_satellite_battery-8.mat,secondary_sparse_observation_protocol_transfer
