archive_name,archive_sha256,integrity_test,inner_path,uncompressed_bytes,batch,mat_payload_parsed
Batch-4.7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-1.mat,80230783,Batch-4,no
Batch-4.7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-2.mat,68351110,Batch-4,no
Batch-4.7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-3.mat,68801058,Batch-4,no
Batch-4.7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-4.mat,75012217,Batch-4,no
Batch-4.7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-5.mat,74560254,Batch-4,no
Batch-4.7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-6.mat,72446965,Batch-4,no
Batch-4.7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-7.mat,61033624,Batch-4,no
Batch-4.7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-8.mat,76320788,Batch-4,no
Batch-5.7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-1.mat,17476523,Batch-5,no
Batch-5.7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-2.mat,26773778,Batch-5,no
Batch-5.7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-3.mat,29424058,Batch-5,no
Batch-5.7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-4.mat,22386522,Batch-5,no
Batch-5.7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-5.mat,24113364,Batch-5,no
Batch-5.7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-6.mat,19701136,Batch-5,no
Batch-5.7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-7.mat,16867588,Batch-5,no
Batch-5.7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-8.mat,18759273,Batch-5,no
Batch-6.7z,8aa15fffbc0b22e6b7e0bc26ef855169747e01195a7356e8e06a9fdb8cc1a29b,PASS,Batch-6/Sim_satellite_battery-1.mat,102808911,Batch-6,no
Batch-6.7z,8aa15fffbc0b22e6b7e0bc26ef855169747e01195a7356e8e06a9fdb8cc1a29b,PASS,Batch-6/Sim_satellite_battery-2.mat,130758107,Batch-6,no
Batch-6.7z,8aa15fffbc0b22e6b7e0bc26ef855169747e01195a7356e8e06a9fdb8cc1a29b,PASS,Batch-6/Sim_satellite_battery-3.mat,97611118,Batch-6,no
Batch-6.7z,8aa15fffbc0b22e6b7e0bc26ef855169747e01195a7356e8e06a9fdb8cc1a29b,PASS,Batch-6/Sim_satellite_battery-4.mat,101591956,Batch-6,no
Batch-6.7z,8aa15fffbc0b22e6b7e0bc26ef855169747e01195a7356e8e06a9fdb8cc1a29b,PASS,Batch-6/Sim_satellite_battery-5.mat,138876177,Batch-6,no
Batch-6.7z,8aa15fffbc0b22e6b7e0bc26ef855169747e01195a7356e8e06a9fdb8cc1a29b,PASS,Batch-6/Sim_satellite_battery-6.mat,117240589,Batch-6,no
Batch-6.7z,8aa15fffbc0b22e6b7e0bc26ef855169747e01195a7356e8e06a9fdb8cc1a29b,PASS,Batch-6/Sim_satellite_battery-7.mat,102215556,Batch-6,no
Batch-6.7z,8aa15fffbc0b22e6b7e0bc26ef855169747e01195a7356e8e06a9fdb8cc1a29b,PASS,Batch-6/Sim_satellite_battery-8.mat,113477348,Batch-6,no
