archive_name,archive_sha256,integrity_test,inner_path,uncompressed_bytes,batch,mat_payload_parsed
Batch-4(1).7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-1.mat,80230783,Batch-4,no
Batch-4(1).7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-2.mat,68351110,Batch-4,no
Batch-4(1).7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-3.mat,68801058,Batch-4,no
Batch-4(1).7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-4.mat,75012217,Batch-4,no
Batch-4(1).7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-5.mat,74560254,Batch-4,no
Batch-4(1).7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-6.mat,72446965,Batch-4,no
Batch-4(1).7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-7.mat,61033624,Batch-4,no
Batch-4(1).7z,e5fb9fffb2c77c62d8c8bcd59ccb4677a23effcb3fad02194c14fe7136d26e5e,PASS,Batch-4/R3_battery-8.mat,76320788,Batch-4,no
Batch-5(1).7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-1.mat,17476523,Batch-5,no
Batch-5(1).7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-2.mat,26773778,Batch-5,no
Batch-5(1).7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-3.mat,29424058,Batch-5,no
Batch-5(1).7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-4.mat,22386522,Batch-5,no
Batch-5(1).7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-5.mat,24113364,Batch-5,no
Batch-5(1).7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-6.mat,19701136,Batch-5,no
Batch-5(1).7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-7.mat,16867588,Batch-5,no
Batch-5(1).7z,9a2be3de953c5aa81c335dfda3656551674acbbab6139b8cd60121cac78ac2a1,PASS,Batch-5/RW_battery-8.mat,18759273,Batch-5,no
Sim_satellite_battery-1.7z,a9abf4d1ad4e0ac09a2f29738bac8b75eb9567d03bbe705d3513ae9a688f1a94,PASS,Sim_satellite_battery-1.mat,102808911,Batch-6,no
Sim_satellite_battery-2.7z,b08658ae564ae59a70ecb8fdf5a82143fd2b506a86ea9b8d4209412b777f3371,PASS,Sim_satellite_battery-2.mat,130758107,Batch-6,no
Sim_satellite_battery-3.7z,2b3b7ac0fbdd8bb7c8426fc1c7dfb1becdef3bbec7212e03e470a8d4c1eaa954,PASS,Sim_satellite_battery-3.mat,97611118,Batch-6,no
Sim_satellite_battery-4.7z,b01c0f847b0ca4d966cd2c11b490bf7617f5b2387f76ffeab89d1e3cab18ea83,PASS,Sim_satellite_battery-4.mat,101591956,Batch-6,no
Sim_satellite_battery-5.7z,a5e7ad1b565f6e1e869b704acd5d96b602298238b1187d78266b637c09b9ef94,PASS,Sim_satellite_battery-5.mat,138876177,Batch-6,no
Sim_satellite_battery-6.7z,c00073f999c98b8d014edecc4960b2b653bf6b57ecddb0c8e20ab601a3a4ebd2,PASS,Sim_satellite_battery-6.mat,117240589,Batch-6,no
Sim_satellite_battery-7.7z,11d27d6b9b85fc0876c1c0c6250e44cadef97d4ce2154af3a4595d48c3cfc8df,PASS,Sim_satellite_battery-7.mat,102215556,Batch-6,no
Sim_satellite_battery-8.7z,59771f0f4d0811fd3b28c2a3c60efe1c9b212fc17f8748d9fe31c2737140216d,PASS,Sim_satellite_battery-8.mat,113477348,Batch-6,no
