domain,seed,test_battery,cutoff,model,generated_RMSE,frozen_RMSE,abs_delta_RMSE,generated_MAE,frozen_MAE,abs_delta_MAE
NASA,42,B0005,50,Local_linear_anchor,0.31418601279666614,0.3141860127966661,5.551115123125783e-17,0.2811430746150558,0.2811430746150558,0.0
NASA,42,B0005,70,Local_linear_anchor,0.15006656130617377,0.1500665613061737,5.551115123125783e-17,0.12119691546404063,0.1211969154640406,2.7755575615628914e-17
NASA,42,B0005,90,Local_linear_anchor,0.05841843945397366,0.0584184394539736,6.245004513516506e-17,0.05308284921772183,0.0530828492177218,2.7755575615628914e-17
NASA,42,B0005,50,TRAIL_Lite,0.15023780235378345,0.1502378023537834,5.551115123125783e-17,0.13215017824505562,0.1321501782450556,2.7755575615628914e-17
NASA,42,B0005,70,TRAIL_Lite,0.13991819298803795,0.1399181929880379,5.551115123125783e-17,0.1211510585740627,0.1211510585740627,0.0
NASA,42,B0005,90,TRAIL_Lite,0.08287740146724798,0.0828774014672479,8.326672684688674e-17,0.07146939076483555,0.0714693907648355,5.551115123125783e-17
NASA,42,B0005,50,TRAIL_full,0.08466454829660876,0.0846645482966087,5.551115123125783e-17,0.0733250659196629,0.0733250659196629,0.0
NASA,42,B0005,70,TRAIL_full,0.09450070529766987,0.0945007052976698,6.938893903907228e-17,0.08280958136485476,0.0828095813648547,6.938893903907228e-17
NASA,42,B0005,90,TRAIL_full,0.05513276541125647,0.0551327654112564,6.938893903907228e-17,0.050873246801880864,0.0508732468018808,6.245004513516506e-17
NASA,42,B0006,50,Local_linear_anchor,0.5764904790899072,0.5764904790899072,0.0,0.5191245155072747,0.5191245155072747,0.0
NASA,42,B0006,70,Local_linear_anchor,0.3310668353274839,0.3310668353274839,0.0,0.2859114125492043,0.2859114125492043,0.0
NASA,42,B0006,90,Local_linear_anchor,0.18678871338406042,0.1867887133840604,2.7755575615628914e-17,0.15783779930571226,0.1578377993057122,5.551115123125783e-17
NASA,42,B0006,50,TRAIL_Lite,0.19519229825236237,0.1951922982523623,5.551115123125783e-17,0.18425509452047975,0.1842550945204797,5.551115123125783e-17
NASA,42,B0006,70,TRAIL_Lite,0.04251825032811991,0.0425182503281199,6.938893903907228e-18,0.03722171139606657,0.0372217113960665,7.632783294297951e-17
NASA,42,B0006,90,TRAIL_Lite,0.0454435797247208,0.0454435797247208,0.0,0.03196756677281796,0.0319675667728179,5.551115123125783e-17
NASA,42,B0006,50,TRAIL_full,0.17541559827661501,0.175415598276615,2.7755575615628914e-17,0.1619070593304147,0.1619070593304147,0.0
NASA,42,B0006,70,TRAIL_full,0.05765043492565713,0.0576504349256571,2.7755575615628914e-17,0.04855194434715483,0.0485519443471548,3.469446951953614e-17
NASA,42,B0006,90,TRAIL_full,0.07747988183175626,0.0774798818317562,5.551115123125783e-17,0.06153303539765274,0.0615330353976527,3.469446951953614e-17
NASA,42,B0007,50,Local_linear_anchor,0.1691728407710973,0.1691728407710973,0.0,0.1558112080538772,0.1558112080538772,0.0
NASA,42,B0007,70,Local_linear_anchor,0.15251728639021803,0.152517286390218,2.7755575615628914e-17,0.1261327498289363,0.1261327498289363,0.0
NASA,42,B0007,90,Local_linear_anchor,0.130396422674515,0.130396422674515,0.0,0.1138861945490104,0.1138861945490104,0.0
NASA,42,B0007,50,TRAIL_Lite,0.019850112999721427,0.0198501129997214,2.7755575615628914e-17,0.016061676660562484,0.0160616766605624,8.326672684688674e-17
NASA,42,B0007,70,TRAIL_Lite,0.02216421324921733,0.0221642132492173,2.7755575615628914e-17,0.019317839613128628,0.0193178396131286,2.7755575615628914e-17
NASA,42,B0007,90,TRAIL_Lite,0.04200609661690436,0.0420060966169043,6.245004513516506e-17,0.039075807614226986,0.0390758076142269,8.326672684688674e-17
NASA,42,B0007,50,TRAIL_full,0.06478849852788743,0.0647884985278874,2.7755575615628914e-17,0.052917454003413744,0.0529174540034137,4.163336342344337e-17
NASA,42,B0007,70,TRAIL_full,0.06422444079419984,0.0642244407941998,4.163336342344337e-17,0.05777089306809216,0.0577708930680921,6.245004513516506e-17
NASA,42,B0007,90,TRAIL_full,0.06362937953222929,0.0636293795322292,8.326672684688674e-17,0.05021035012342868,0.0502103501234286,7.632783294297951e-17
NASA,42,B0018,50,Local_linear_anchor,0.5348787315242258,0.5348787315242258,0.0,0.4766608362556377,0.4766608362556377,0.0
NASA,42,B0018,70,Local_linear_anchor,0.23614210595120674,0.2361421059512067,5.551115123125783e-17,0.19771997927239515,0.1977199792723951,5.551115123125783e-17
NASA,42,B0018,90,Local_linear_anchor,0.016021862385384604,0.0160218623853846,3.469446951953614e-18,0.01265073600961816,0.0126507360096181,5.898059818321144e-17
NASA,42,B0018,50,TRAIL_Lite,0.10265682812383241,0.1026568281238324,1.3877787807814457e-17,0.09272956632361978,0.0927295663236197,8.326672684688674e-17
NASA,42,B0018,70,TRAIL_Lite,0.02044225159028012,0.0204422515902801,2.0816681711721685e-17,0.016719397749516588,0.0167193977495165,8.673617379884035e-17
NASA,42,B0018,90,TRAIL_Lite,0.029021801530480357,0.0290218015304803,5.898059818321144e-17,0.025446637539593125,0.0254466375395931,2.42861286636753e-17
NASA,42,B0018,50,TRAIL_full,0.04227592980067327,0.0422759298006732,6.938893903907228e-17,0.03507332192297367,0.0350733219229736,6.938893903907228e-17
NASA,42,B0018,70,TRAIL_full,0.04236341115256585,0.0423634111525658,5.551115123125783e-17,0.03286904587102699,0.0328690458710269,9.020562075079397e-17
NASA,42,B0018,90,TRAIL_full,0.0694683091550601,0.0694683091550601,0.0,0.05788289393948967,0.0578828939394896,6.938893903907228e-17
NASA,2024,B0005,50,Local_linear_anchor,0.31418601279666614,0.3141860127966661,5.551115123125783e-17,0.2811430746150558,0.2811430746150558,0.0
NASA,2024,B0005,70,Local_linear_anchor,0.15006656130617377,0.1500665613061737,5.551115123125783e-17,0.12119691546404063,0.1211969154640406,2.7755575615628914e-17
NASA,2024,B0005,90,Local_linear_anchor,0.05841843945397366,0.0584184394539736,6.245004513516506e-17,0.05308284921772183,0.0530828492177218,2.7755575615628914e-17
NASA,2024,B0005,50,TRAIL_Lite,0.08834052145477403,0.088340521454774,2.7755575615628914e-17,0.07285532751287174,0.0728553275128717,4.163336342344337e-17
NASA,2024,B0005,70,TRAIL_Lite,0.09271315565070258,0.0927131556507025,8.326672684688674e-17,0.08212069034328195,0.0821206903432819,5.551115123125783e-17
NASA,2024,B0005,90,TRAIL_Lite,0.05582656833905174,0.0558265683390517,3.469446951953614e-17,0.049598149525434544,0.0495981495254345,4.163336342344337e-17
NASA,2024,B0005,50,TRAIL_full,0.2511815992692011,0.2511815992692011,0.0,0.21880524294657197,0.2188052429465719,8.326672684688674e-17
NASA,2024,B0005,70,TRAIL_full,0.16218499046508997,0.1621849904650899,5.551115123125783e-17,0.1374657463516014,0.1374657463516014,0.0
NASA,2024,B0005,90,TRAIL_full,0.07874547143616646,0.0787454714361664,5.551115123125783e-17,0.06691395312596629,0.0669139531259662,9.71445146547012e-17
NASA,2024,B0006,50,Local_linear_anchor,0.5764904790899072,0.5764904790899072,0.0,0.5191245155072747,0.5191245155072747,0.0
NASA,2024,B0006,70,Local_linear_anchor,0.3310668353274839,0.3310668353274839,0.0,0.2859114125492043,0.2859114125492043,0.0
NASA,2024,B0006,90,Local_linear_anchor,0.18678871338406042,0.1867887133840604,2.7755575615628914e-17,0.15783779930571226,0.1578377993057122,5.551115123125783e-17
NASA,2024,B0006,50,TRAIL_Lite,0.09640652751013883,0.0964065275101388,2.7755575615628914e-17,0.09259584664526606,0.092595846645266,5.551115123125783e-17
NASA,2024,B0006,70,TRAIL_Lite,0.05580733856710633,0.0558073385671063,3.469446951953614e-17,0.04817392677704015,0.0481739267770401,5.551115123125783e-17
NASA,2024,B0006,90,TRAIL_Lite,0.02298579271042448,0.0229857927104244,7.979727989493313e-17,0.01657403511465707,0.016574035114657,6.938893903907228e-17
NASA,2024,B0006,50,TRAIL_full,0.06385768290617465,0.0638576829061746,4.163336342344337e-17,0.05724997810626408,0.057249978106264,8.326672684688674e-17
NASA,2024,B0006,70,TRAIL_full,0.08744130268405388,0.0874413026840538,8.326672684688674e-17,0.07709978426821196,0.0770997842682119,5.551115123125783e-17
NASA,2024,B0006,90,TRAIL_full,0.0455164460392121,0.0455164460392121,0.0,0.03664965225945944,0.0366496522594594,3.469446951953614e-17
NASA,2024,B0007,50,Local_linear_anchor,0.1691728407710973,0.1691728407710973,0.0,0.1558112080538772,0.1558112080538772,0.0
NASA,2024,B0007,70,Local_linear_anchor,0.15251728639021803,0.152517286390218,2.7755575615628914e-17,0.1261327498289363,0.1261327498289363,0.0
NASA,2024,B0007,90,Local_linear_anchor,0.130396422674515,0.130396422674515,0.0,0.1138861945490104,0.1138861945490104,0.0
NASA,2024,B0007,50,TRAIL_Lite,0.02136953959818206,0.021369539598182,5.898059818321144e-17,0.015290915488952846,0.0152909154889528,4.5102810375396984e-17
NASA,2024,B0007,70,TRAIL_Lite,0.028474419986573355,0.0284744199865733,5.551115123125783e-17,0.025979186622912265,0.0259791866229122,6.591949208711867e-17
NASA,2024,B0007,90,TRAIL_Lite,0.03347054361512954,0.0334705436151295,4.163336342344337e-17,0.03062743108710275,0.0306274310871027,4.85722573273506e-17
NASA,2024,B0007,50,TRAIL_full,0.18748375577519752,0.1874837557751975,2.7755575615628914e-17,0.17343583199988702,0.173435831999887,2.7755575615628914e-17
NASA,2024,B0007,70,TRAIL_full,0.008844990791149901,0.0088449907911499,1.734723475976807e-18,0.007162619634072068,0.007162619634072,6.765421556309548e-17
NASA,2024,B0007,90,TRAIL_full,0.04149619319344071,0.0414961931934407,6.938893903907228e-18,0.03767684600261946,0.0376768460026194,6.245004513516506e-17
NASA,2024,B0018,50,Local_linear_anchor,0.5348787315242258,0.5348787315242258,0.0,0.4766608362556377,0.4766608362556377,0.0
NASA,2024,B0018,70,Local_linear_anchor,0.23614210595120674,0.2361421059512067,5.551115123125783e-17,0.19771997927239515,0.1977199792723951,5.551115123125783e-17
NASA,2024,B0018,90,Local_linear_anchor,0.016021862385384604,0.0160218623853846,3.469446951953614e-18,0.01265073600961816,0.0126507360096181,5.898059818321144e-17
NASA,2024,B0018,50,TRAIL_Lite,0.06823484407471662,0.0682348440747166,2.7755575615628914e-17,0.0612580780236789,0.0612580780236789,0.0
NASA,2024,B0018,70,TRAIL_Lite,0.01835349230074156,0.0183534923007415,5.898059818321144e-17,0.01436808289348704,0.014368082893487,3.9898639947466563e-17
NASA,2024,B0018,90,TRAIL_Lite,0.02294704458376905,0.022947044583769,4.85722573273506e-17,0.018965560453631212,0.0189655604536312,1.0408340855860843e-17
NASA,2024,B0018,50,TRAIL_full,0.04175128778897771,0.0417512877889777,6.938893903907228e-18,0.03474585905381013,0.0347458590538101,2.7755575615628914e-17
NASA,2024,B0018,70,TRAIL_full,0.02094061466286849,0.0209406146628684,9.020562075079397e-17,0.018029506075823827,0.0180295060758238,2.7755575615628914e-17
NASA,2024,B0018,90,TRAIL_full,0.03017034670506353,0.0301703467050635,2.7755575615628914e-17,0.025532941631498544,0.0255329416314985,4.5102810375396984e-17
NASA,3407,B0005,50,Local_linear_anchor,0.31418601279666614,0.3141860127966661,5.551115123125783e-17,0.2811430746150558,0.2811430746150558,0.0
